cart_id,user_id,product_id,quantity,added_to_cart_date
1,114,B09NNZ1GF7,2,2024/3/30
2,920,B07TCN5VR9,1,2024/12/20
3,78,B09MT6XSFW,1,2024/9/25
4,63,B01L8ZNWN2,3,2025/1/3
5,373,B07QZ3CZ48,4,2025/1/3
6,655,B00NH12R1O,2,2024/7/19
7,453,B09MT84WV5,2,2024/11/19
8,806,B09BL2KHQW,2,2024/9/13
9,427,B09FPP3R1D,4,2024/3/30
10,368,B0B3XY5YT4,4,2024/7/1
11,366,B08YK7BBD2,4,2024/5/30
12,554,B09DSQXCM8,4,2024/12/5
13,647,B07VZYMQNZ,4,2024/4/4
14,855,B079S811J3,2,2024/10/21
15,357,B08D11DZ2W,2,2024/7/31
16,375,B09GFPN6TP,4,2025/2/20
17,7,B08DPLCM6T,1,2024/12/17
18,138,B0BNLFQDG2,2,2024/4/25
19,580,B0B4G2MWSB,4,2024/11/4
20,897,B0814P4L98,3,2024/5/27
21,403,B09W9V2PXG,1,2024/4/9
22,782,B0989W6J2F,1,2024/10/9
23,658,B0B2X35B1K,4,2024/8/3
24,124,B09Q5P2MT3,1,2025/1/7
25,487,B08YXJJW8H,4,2024/4/14
26,802,B0BDYW3RN3,1,2024/3/19
27,203,B07JGCGNDG,2,2024/4/17
28,82,B086GVRP63,2,2024/6/30
29,305,B0B97D658R,2,2024/4/22
30,597,B0B2931FCV,3,2025/2/28
31,255,B0819HZPXL,2,2024/4/21
32,33,B0BJ966M5K,2,2024/10/22
33,240,B07L5L4GTB,2,2025/3/8
34,8,B08MVXPTDG,4,2024/11/12
35,174,B075K76YW1,3,2024/12/13
36,945,B0B53QLB9H,3,2024/5/3
37,810,B075JJ5NQC,3,2025/1/12
38,496,B078KRFWQB,3,2024/9/23
39,768,B098TV3L96,1,2025/2/14
40,339,B077Z65HSD,2,2024/8/7
41,764,B07DJLFMPS,4,2024/10/18
42,252,B08V9C4B1J,3,2024/5/23
43,117,B01KCSGBU2,1,2024/12/18
44,788,B00LM4X3XE,1,2024/11/20
45,456,B09CTWFV5W,1,2024/4/6
46,521,B09YV4MW2T,1,2025/1/4
47,344,B0BHZCNC4P,3,2024/12/3
48,947,B08D9NDZ1Y,4,2024/5/3
49,769,B071SDRGWL,2,2024/7/31
50,575,B071Z8M4KX,3,2024/7/16
51,143,B0BN2576GQ,4,2024/5/9
52,608,B0836JGZ74,4,2024/3/9
53,893,B07W9KYT62,1,2024/11/25
54,444,B07WHQBZLS,4,2024/9/23
55,455,B00BN5SNF0,3,2024/12/12
56,536,B09RWZRCP1,1,2024/8/21
57,484,B08BQ947H3,4,2024/10/5
58,609,B00LZLQ624,3,2024/12/30
59,977,B07KCMR8D6,2,2024/5/13
60,76,B00URH5E34,1,2024/10/29
61,337,B0994GP1CX,2,2024/11/5
62,209,B0BHNHMR3H,4,2024/7/22
63,687,B08HV83HL3,3,2024/10/30
64,413,B07MKMFKPG,3,2024/6/9
65,978,B0856HY85J,4,2024/6/20
66,217,B07WJV6P1R,1,2024/6/29
67,211,B09H34V36W,3,2024/8/13
68,741,B081B1JL35,4,2025/1/30
69,346,B0B19VJXQZ,2,2024/3/15
70,581,B07GLS2563,4,2024/12/16
71,689,B09LMMFW3S,1,2024/9/13
72,763,B075S9FVRY,3,2024/6/26
73,880,B08BQ947H3,2,2024/3/16
74,597,B083M7WPZD,1,2024/3/29
75,543,B08WRWPM22,3,2024/6/4
76,384,B08CF3B7N1,1,2024/8/22
77,666,B097R3XH9R,1,2024/6/24
78,297,B09XB7SRQ5,2,2024/9/19
79,436,B09GFLXVH9,2,2024/8/16
80,900,B07MSLTW8Z,4,2024/8/20
81,778,B094JNXNPV,2,2024/5/14
82,529,B0BJYSCWFQ,4,2025/1/27
83,723,B00KRCBA6E,1,2024/8/18
